127.0.0.1, 2015-10-20 19:16:06, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.648000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:13, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2015-10-20 19:16:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-10-20 19:16:13, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/default/index, HTTP/1.1, 200, 0.105000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-20 19:16:20, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.001000
